ccn,hospital_name,state,ownership_simplified,urban_rural,hospital_type,n_drgs,total_discharges,median_cpr,median_charge,median_medicare_pymt,median_total_pymt,avg_mortality_rate,avg_readmission_rate,n_worse_than_national,mort_hybrid_all_cause,readm_hybrid_all_cause,mort_30_ami,mort_30_hf,mort_30_pn,readm_30_ami,readm_30_hf,readm_30_pn,avg_patient_experience_linear,avg_star_rating,n_surveys_completed,peer_group,score_mortality,score_readmission,score_experience,score_cost,value_score,value_quadrant,median_cpr_vs_peers,avg_mortality_rate_vs_peers,avg_readmission_rate_vs_peers,avg_patient_experience_linear_vs_peers
010001,Southeast Health Medical Center,AL,Government,Urban,Acute Care Hospitals,95,3217,4.05,45922.740741,9219.0322581,11777.588235,11.233333333333334,13.87142857142857,0.0,4.5,15.1,11.4,10.2,18.4,13.0,20.1,16.0,86.5,3.625,952.0,General Acute Care,55.7471264367816,57.04433497536947,61.206896551724135,84.35488845481649,64.32,🌟 High Value,-0.2,3.5,-9.1,0.9
010005,Marshall Medical Centers South Campus,AL,Government,Suburban,Acute Care Hospitals,28,772,2.1105,17450.592885,6074.924880750001,8743.61752135,12.34,13.660000000000002,1.0,4.6,13.3,,14.1,21.2,,19.8,13.9,84.75,3.125,705.0,General Acute Care,46.20689655172413,58.988505747126425,55.172413793103445,92.33062609232034,62.73,"⚠️ Low Quality, Low Cost",-48.0,13.7,-10.4,-1.2
010006,North Alabama Medical Center,AL,For-Profit,Urban,Acute Care Hospitals,71,2470,5.137,47654.210526,7808.6754967,9629.2526316,12.15,14.057142857142859,1.0,5.2,15.9,14.5,12.5,19.6,12.5,19.5,15.7,82.0,2.125,1814.0,General Acute Care,47.84482758620688,55.33661740558291,45.689655172413794,79.88485658476407,57.3,"⚠️ Low Quality, Low Cost",26.6,12.0,-7.8,-4.4
010007,Mizell Memorial Hospital,AL,Non-Profit,Rural,Acute Care Hospitals,5,80,1.434,11255.176471,5595.0,6683.0,13.7,17.85,1.0,4.8,15.4,,13.4,25.4,,20.9,16.5,,,,General Acute Care,34.48275862068965,20.45977011494253,,95.11257324971729,,"⚠️ Low Quality, Low Cost",-64.6,26.3,17.0,
010008,Crenshaw Community Hospital,AL,For-Profit,Urban,Acute Care Hospitals,1,13,2.343,16001.692308,5699.3076923,6829.1538462,,,,,,,,,,,,,,,Unknown,50.0,50.0,50.0,88.3004974344914,59.58,Insufficient Data,4.9,,,
010011,St Vincent's East,AL,Non-Profit,Urban,Acute Care Hospitals,51,1495,3.796,42077.766667,8423.8333333,10847.55,12.199999999999998,15.83333333333333,0.0,4.1,14.6,12.7,14.4,20.1,13.2,20.9,16.2,84.75,2.75,887.0,General Acute Care,47.4137931034483,39.00383141762455,55.172413793103445,85.39940372159967,56.36,"⚠️ Low Quality, Low Cost",-6.4,12.4,3.8,-1.2
010012,Dekalb Regional Medical Center,AL,For-Profit,Rural,Acute Care Hospitals,13,274,5.466,52226.3125,9098.2380952,10593.9375,12.52,14.933333333333332,0.0,4.6,15.1,12.8,15.9,19.8,14.3,21.3,16.3,86.75,2.875,265.0,General Acute Care,44.655172413793096,47.27969348659007,62.06896551724138,78.53192145574175,57.26,"⚠️ Low Quality, Low Cost",34.8,15.4,-2.1,1.2
010016,Shelby Baptist Medical Center,AL,Non-Profit,Urban,Acute Care Hospitals,27,674,8.953,96276.875,8216.3125,10578.4375,11.883333333333333,14.142857142857142,0.0,4.3,14.0,14.1,10.6,16.9,13.9,19.9,16.4,83.5,2.375,881.0,General Acute Care,50.14367816091954,54.54844006568146,50.86206896551724,64.19245399403721,54.9,🌟 High Value,120.7,9.5,-7.3,-2.6
010018,Uab Callahan Eye Hospital Authority,AL,Non-Profit,Urban,Acute Care Hospitals,1,15,1.37,45207.133333,12497.133333,32995.666667,,,,,,,,,,,,,,,Unknown,50.0,50.0,50.0,95.92260389330617,61.48,Insufficient Data,-38.7,,,
010019,Helen Keller Memorial Hospital,AL,Government,Urban,Acute Care Hospitals,32,892,3.5255,27086.314263,5307.87261905,6942.10576925,12.939999999999998,14.9,1.0,5.6,16.0,,18.5,18.7,,17.8,16.1,87.5,3.75,413.0,General Acute Care,41.034482758620705,47.58620689655173,64.65517241379311,86.51177135807546,58.77,"⚠️ Low Quality, Low Cost",-13.1,19.3,-2.3,2.0
